Employee ID,Total No of Employees,Job Level before FY20 promotions,Job Level after FY20 promotions,Job Level after FY21 promotions,Total Promotion,FY19 Performance Rating,FY20 Performance Rating
83,, Junior Officer, Senior Officer, Senior Officer,0,,
83,, Manager, Manager, Manager,0,,
83,, Manager, Manager, Senior Manager,0,,
83,, Manager, Manager,Resigned,0,,
83,, Manager, Senior Manager, Director,0,,
83,, Manager, Senior Manager, Senior Manager,0,,
83,, Senior Manager, Director, Director,0,,
83,, Senior Manager, Senior Manager, Director,0,,
83,, Senior Manager, Senior Manager, Senior Manager,0,,
83,, Senior Manager, Senior Manager,Resigned,0,,
83,, Senior Officer, Manager, Manager,0,,
83,, Senior Officer, Manager, Senior Manager,0,,
83,, Senior Officer, Senior Officer, Manager,0,,
83,, Senior Officer, Senior Officer, Senior Officer,0,,
83,, Senior Officer, Senior Officer,Resigned,0,,
83,,Newly Hired, Director, Director,0,,
83,,Newly Hired, Executive, Executive,0,,
83,,Newly Hired, Junior Officer, Junior Officer,0,,
83,,Newly Hired, Manager, Manager,0,,
83,,Newly Hired, Senior Manager, Senior Manager,0,,
83,,Newly Hired, Senior Officer, Senior Officer,0,,
84,, Director, Director, Director,0,,
84,, Director, Director, Executive,0,,
84,, Director, Director,Resigned,0,,
84,, Director, Executive, Executive,0,,
84,, Executive, Executive, Executive,0,,
84,, Executive, Executive,Resigned,0,,
84,1, Junior Officer, Junior Officer, Junior Officer,0,3,3
84,, Junior Officer, Junior Officer, Senior Officer,0,,
84,, Junior Officer, Junior Officer,Resigned,0,,
84,, Junior Officer, Senior Officer, Manager,0,,
84,, Junior Officer, Senior Officer, Senior Officer,0,,
84,, Manager, Manager, Manager,0,,
84,, Manager, Manager, Senior Manager,0,,
84,, Manager, Manager,Resigned,0,,
84,, Manager, Senior Manager, Director,0,,
84,, Manager, Senior Manager, Senior Manager,0,,
84,, Senior Manager, Director, Director,0,,
84,, Senior Manager, Senior Manager, Director,0,,
84,, Senior Manager, Senior Manager, Senior Manager,0,,
84,, Senior Manager, Senior Manager,Resigned,0,,
84,, Senior Officer, Manager, Manager,0,,
84,, Senior Officer, Manager, Senior Manager,0,,
84,, Senior Officer, Senior Officer, Manager,0,,
84,, Senior Officer, Senior Officer, Senior Officer,0,,
84,, Senior Officer, Senior Officer,Resigned,0,,
84,,Newly Hired, Director, Director,0,,
84,,Newly Hired, Executive, Executive,0,,
84,,Newly Hired, Junior Officer, Junior Officer,0,,
84,,Newly Hired, Manager, Manager,0,,
84,,Newly Hired, Senior Manager, Senior Manager,0,,
84,,Newly Hired, Senior Officer, Senior Officer,0,,
85,, Director, Director, Director,0,,
85,, Director, Director, Executive,0,,
85,1, Director, Director,Resigned,0,4,4
85,, Director, Executive, Executive,0,,
85,, Executive, Executive, Executive,0,,
85,, Executive, Executive,Resigned,0,,
85,, Junior Officer, Junior Officer, Junior Officer,0,,
85,, Junior Officer, Junior Officer, Senior Officer,0,,
85,, Junior Officer, Junior Officer,Resigned,0,,
85,, Junior Officer, Senior Officer, Manager,0,,
85,, Junior Officer, Senior Officer, Senior Officer,0,,
85,, Manager, Manager, Manager,0,,
85,, Manager, Manager, Senior Manager,0,,
85,, Manager, Manager,Resigned,0,,
85,, Manager, Senior Manager, Director,0,,
85,, Manager, Senior Manager, Senior Manager,0,,
85,, Senior Manager, Director, Director,0,,
85,, Senior Manager, Senior Manager, Director,0,,
85,, Senior Manager, Senior Manager, Senior Manager,0,,
85,, Senior Manager, Senior Manager,Resigned,0,,
85,, Senior Officer, Manager, Manager,0,,
85,, Senior Officer, Manager, Senior Manager,0,,
85,, Senior Officer, Senior Officer, Manager,0,,
85,, Senior Officer, Senior Officer, Senior Officer,0,,
85,, Senior Officer, Senior Officer,Resigned,0,,
85,,Newly Hired, Director, Director,0,,
85,,Newly Hired, Executive, Executive,0,,
85,,Newly Hired, Junior Officer, Junior Officer,0,,
85,,Newly Hired, Manager, Manager,0,,
85,,Newly Hired, Senior Manager, Senior Manager,0,,
85,,Newly Hired, Senior Officer, Senior Officer,0,,
86,, Director, Director, Director,0,,
86,, Director, Director, Executive,0,,
86,, Director, Director,Resigned,0,,
86,, Director, Executive, Executive,0,,
86,, Executive, Executive, Executive,0,,
86,, Executive, Executive,Resigned,0,,
86,1, Junior Officer, Junior Officer, Junior Officer,0,3,2
86,, Junior Officer, Junior Officer, Senior Officer,0,,
86,, Junior Officer, Junior Officer,Resigned,0,,
86,, Junior Officer, Senior Officer, Manager,0,,
86,, Junior Officer, Senior Officer, Senior Officer,0,,
86,, Manager, Manager, Manager,0,,
86,, Manager, Manager, Senior Manager,0,,
86,, Manager, Manager,Resigned,0,,
86,, Manager, Senior Manager, Director,0,,
86,, Manager, Senior Manager, Senior Manager,0,,
86,, Senior Manager, Director, Director,0,,
86,, Senior Manager, Senior Manager, Director,0,,
86,, Senior Manager, Senior Manager, Senior Manager,0,,
86,, Senior Manager, Senior Manager,Resigned,0,,
86,, Senior Officer, Manager, Manager,0,,
86,, Senior Officer, Manager, Senior Manager,0,,
86,, Senior Officer, Senior Officer, Manager,0,,
86,, Senior Officer, Senior Officer, Senior Officer,0,,
86,, Senior Officer, Senior Officer,Resigned,0,,
86,,Newly Hired, Director, Director,0,,
86,,Newly Hired, Executive, Executive,0,,
86,,Newly Hired, Junior Officer, Junior Officer,0,,
86,,Newly Hired, Manager, Manager,0,,
86,,Newly Hired, Senior Manager, Senior Manager,0,,
86,,Newly Hired, Senior Officer, Senior Officer,0,,
87,, Director, Director, Director,0,,
87,, Director, Director, Executive,0,,
87,, Director, Director,Resigned,0,,
87,, Director, Executive, Executive,0,,
87,1, Executive, Executive, Executive,0,2,
87,, Executive, Executive,Resigned,0,,
87,, Junior Officer, Junior Officer, Junior Officer,0,,
87,, Junior Officer, Junior Officer, Senior Officer,0,,
87,, Junior Officer, Junior Officer,Resigned,0,,
87,, Junior Officer, Senior Officer, Manager,0,,
87,, Junior Officer, Senior Officer, Senior Officer,0,,
87,, Manager, Manager, Manager,0,,
87,, Manager, Manager, Senior Manager,0,,
87,, Manager, Manager,Resigned,0,,
87,, Manager, Senior Manager, Director,0,,
87,, Manager, Senior Manager, Senior Manager,0,,
87,, Senior Manager, Director, Director,0,,
87,, Senior Manager, Senior Manager, Director,0,,
87,, Senior Manager, Senior Manager, Senior Manager,0,,
87,, Senior Manager, Senior Manager,Resigned,0,,
87,, Senior Officer, Manager, Manager,0,,
87,, Senior Officer, Manager, Senior Manager,0,,
87,, Senior Officer, Senior Officer, Manager,0,,
87,, Senior Officer, Senior Officer, Senior Officer,0,,
87,, Senior Officer, Senior Officer,Resigned,0,,
87,,Newly Hired, Director, Director,0,,
87,,Newly Hired, Executive, Executive,0,,
87,,Newly Hired, Junior Officer, Junior Officer,0,,
87,,Newly Hired, Manager, Manager,0,,
87,,Newly Hired, Senior Manager, Senior Manager,0,,
87,,Newly Hired, Senior Officer, Senior Officer,0,,
88,, Director, Director, Director,0,,
88,, Director, Director, Executive,0,,
88,, Director, Director,Resigned,0,,
88,, Director, Executive, Executive,0,,
88,, Executive, Executive, Executive,0,,
88,, Executive, Executive,Resigned,0,,
88,, Junior Officer, Junior Officer, Junior Officer,0,,
88,, Junior Officer, Junior Officer,Resigned,0,,
88,, Junior Officer, Senior Officer, Manager,0,,
88,, Junior Officer, Senior Officer, Senior Officer,0,,
88,, Manager, Manager, Manager,0,,
88,, Manager, Manager, Senior Manager,0,,
88,, Manager, Manager,Resigned,0,,
88,, Manager, Senior Manager, Director,0,,
88,, Manager, Senior Manager, Senior Manager,0,,
88,, Senior Manager, Director, Director,0,,
88,, Senior Manager, Senior Manager, Director,0,,
88,, Senior Manager, Senior Manager, Senior Manager,0,,
88,, Senior Manager, Senior Manager,Resigned,0,,
88,, Senior Officer, Manager, Manager,0,,
88,, Senior Officer, Manager, Senior Manager,0,,
88,, Senior Officer, Senior Officer, Manager,0,,
88,, Senior Officer, Senior Officer, Senior Officer,0,,
88,, Senior Officer, Senior Officer,Resigned,0,,
88,,Newly Hired, Director, Director,0,,
88,,Newly Hired, Executive, Executive,0,,
88,,Newly Hired, Junior Officer, Junior Officer,0,,
88,,Newly Hired, Manager, Manager,0,,
88,,Newly Hired, Senior Manager, Senior Manager,0,,
88,,Newly Hired, Senior Officer, Senior Officer,0,,
89,, Director, Director, Director,0,,
89,, Director, Director, Executive,0,,
89,, Director, Director,Resigned,0,,
89,, Director, Executive, Executive,0,,
89,, Executive, Executive, Executive,0,,
89,, Executive, Executive,Resigned,0,,
89,, Junior Officer, Junior Officer, Junior Officer,0,,
89,, Junior Officer, Junior Officer, Senior Officer,0,,
89,, Junior Officer, Junior Officer,Resigned,0,,
89,, Junior Officer, Senior Officer, Manager,0,,
89,, Junior Officer, Senior Officer, Senior Officer,0,,
89,, Manager, Manager, Manager,0,,
89,, Manager, Manager, Senior Manager,0,,
89,, Manager, Manager,Resigned,0,,
89,, Manager, Senior Manager, Director,0,,
89,, Manager, Senior Manager, Senior Manager,0,,
89,, Senior Manager, Director, Director,0,,
89,, Senior Manager, Senior Manager, Director,0,,
89,, Senior Manager, Senior Manager, Senior Manager,0,,
89,, Senior Manager, Senior Manager,Resigned,0,,
89,, Senior Officer, Manager, Manager,0,,
89,, Senior Officer, Manager, Senior Manager,0,,
89,, Senior Officer, Senior Officer, Manager,0,,
89,, Senior Officer, Senior Officer, Senior Officer,0,,
89,, Senior Officer, Senior Officer,Resigned,0,,
89,,Newly Hired, Director, Director,0,,
89,,Newly Hired, Executive, Executive,0,,
89,,Newly Hired, Junior Officer, Junior Officer,0,,
89,,Newly Hired, Manager, Manager,0,,
89,1,Newly Hired, Senior Manager, Senior Manager,0,,
89,,Newly Hired, Senior Officer, Senior Officer,0,,
90,, Director, Director, Director,0,,
90,, Director, Director, Executive,0,,
90,, Director, Director,Resigned,0,,
90,, Director, Executive, Executive,0,,
90,, Executive, Executive, Executive,0,,
90,, Executive, Executive,Resigned,0,,
90,, Junior Officer, Junior Officer, Junior Officer,0,,
90,, Junior Officer, Junior Officer, Senior Officer,0,,
90,, Junior Officer, Junior Officer,Resigned,0,,
90,, Junior Officer, Senior Officer, Manager,0,,
90,, Manager, Manager, Manager,0,,
90,, Manager, Manager, Senior Manager,0,,
90,, Manager, Manager,Resigned,0,,
90,, Manager, Senior Manager, Director,0,,
90,, Manager, Senior Manager, Senior Manager,0,,
90,, Senior Manager, Director, Director,0,,
90,, Senior Manager, Senior Manager, Director,0,,
90,, Senior Manager, Senior Manager, Senior Manager,0,,
90,, Senior Manager, Senior Manager,Resigned,0,,
90,, Senior Officer, Manager, Manager,0,,
90,, Senior Officer, Manager, Senior Manager,0,,
90,, Senior Officer, Senior Officer, Manager,0,,
90,, Senior Officer, Senior Officer, Senior Officer,0,,
90,, Senior Officer, Senior Officer,Resigned,0,,
90,,Newly Hired, Director, Director,0,,
90,,Newly Hired, Executive, Executive,0,,
90,,Newly Hired, Junior Officer, Junior Officer,0,,
90,,Newly Hired, Manager, Manager,0,,
90,,Newly Hired, Senior Manager, Senior Manager,0,,
90,,Newly Hired, Senior Officer, Senior Officer,0,,
91,, Director, Director, Director,0,,
91,, Director, Director, Executive,0,,
91,, Director, Director,Resigned,0,,
91,, Director, Executive, Executive,0,,
91,, Executive, Executive, Executive,0,,
91,, Executive, Executive,Resigned,0,,
91,, Junior Officer, Junior Officer, Junior Officer,0,,
91,, Junior Officer, Junior Officer, Senior Officer,0,,
91,, Junior Officer, Junior Officer,Resigned,0,,
91,, Junior Officer, Senior Officer, Senior Officer,0,,
91,, Manager, Manager, Manager,0,,
91,, Manager, Manager, Senior Manager,0,,
91,, Manager, Manager,Resigned,0,,
91,, Manager, Senior Manager, Director,0,,
91,, Manager, Senior Manager, Senior Manager,0,,
91,, Senior Manager, Director, Director,0,,
91,, Senior Manager, Senior Manager, Director,0,,
91,, Senior Manager, Senior Manager, Senior Manager,0,,
91,, Senior Manager, Senior Manager,Resigned,0,,
91,, Senior Officer, Manager, Manager,0,,
91,, Senior Officer, Manager, Senior Manager,0,,
91,, Senior Officer, Senior Officer, Manager,0,,
91,, Senior Officer, Senior Officer, Senior Officer,0,,
91,, Senior Officer, Senior Officer,Resigned,0,,
91,,Newly Hired, Director, Director,0,,
91,,Newly Hired, Executive, Executive,0,,
91,,Newly Hired, Junior Officer, Junior Officer,0,,
91,,Newly Hired, Manager, Manager,0,,
91,,Newly Hired, Senior Manager, Senior Manager,0,,
91,,Newly Hired, Senior Officer, Senior Officer,0,,
92,, Director, Director, Director,0,,
92,, Director, Director, Executive,0,,
92,, Director, Director,Resigned,0,,
92,, Director, Executive, Executive,0,,
92,, Executive, Executive, Executive,0,,
92,, Executive, Executive,Resigned,0,,
92,1, Junior Officer, Junior Officer, Junior Officer,0,3,3
92,, Junior Officer, Junior Officer, Senior Officer,0,,
92,, Junior Officer, Junior Officer,Resigned,0,,
92,, Junior Officer, Senior Officer, Manager,0,,
92,, Junior Officer, Senior Officer, Senior Officer,0,,
92,, Manager, Manager, Manager,0,,
92,, Manager, Manager, Senior Manager,0,,
92,, Manager, Manager,Resigned,0,,
92,, Manager, Senior Manager, Director,0,,
92,, Manager, Senior Manager, Senior Manager,0,,
92,, Senior Manager, Director, Director,0,,
92,, Senior Manager, Senior Manager, Director,0,,
92,, Senior Manager, Senior Manager, Senior Manager,0,,
92,, Senior Manager, Senior Manager,Resigned,0,,
92,, Senior Officer, Manager, Manager,0,,
92,, Senior Officer, Manager, Senior Manager,0,,
92,, Senior Officer, Senior Officer, Manager,0,,
92,, Senior Officer, Senior Officer, Senior Officer,0,,
92,, Senior Officer, Senior Officer,Resigned,0,,
92,,Newly Hired, Director, Director,0,,
92,,Newly Hired, Executive, Executive,0,,
92,,Newly Hired, Junior Officer, Junior Officer,0,,
92,,Newly Hired, Manager, Manager,0,,
92,,Newly Hired, Senior Manager, Senior Manager,0,,
92,,Newly Hired, Senior Officer, Senior Officer,0,,
93,1, Director, Director, Director,0,3,3
93,, Director, Director, Executive,0,,
93,, Director, Director,Resigned,0,,
93,, Director, Executive, Executive,0,,
93,, Executive, Executive, Executive,0,,
93,, Executive, Executive,Resigned,0,,
93,, Junior Officer, Junior Officer, Junior Officer,0,,
93,, Junior Officer, Junior Officer, Senior Officer,0,,
93,, Junior Officer, Junior Officer,Resigned,0,,
93,, Junior Officer, Senior Officer, Manager,0,,
93,, Junior Officer, Senior Officer, Senior Officer,0,,
93,, Manager, Manager, Manager,0,,
93,, Manager, Manager, Senior Manager,0,,
93,, Manager, Manager,Resigned,0,,
93,, Manager, Senior Manager, Director,0,,
93,, Manager, Senior Manager, Senior Manager,0,,
93,, Senior Manager, Director, Director,0,,
93,, Senior Manager, Senior Manager, Director,0,,
93,, Senior Manager, Senior Manager, Senior Manager,0,,
93,, Senior Manager, Senior Manager,Resigned,0,,
93,, Senior Officer, Manager, Manager,0,,
93,, Senior Officer, Manager, Senior Manager,0,,
93,, Senior Officer, Senior Officer, Manager,0,,
93,, Senior Officer, Senior Officer, Senior Officer,0,,
93,, Senior Officer, Senior Officer,Resigned,0,,
93,,Newly Hired, Director, Director,0,,
93,,Newly Hired, Executive, Executive,0,,
93,,Newly Hired, Junior Officer, Junior Officer,0,,
93,,Newly Hired, Manager, Manager,0,,
93,,Newly Hired, Senior Manager, Senior Manager,0,,
93,,Newly Hired, Senior Officer, Senior Officer,0,,
94,, Director, Director, Director,0,,
94,, Director, Director, Executive,0,,
94,, Director, Director,Resigned,0,,
94,, Director, Executive, Executive,0,,
94,, Executive, Executive, Executive,0,,
94,, Executive, Executive,Resigned,0,,
94,, Junior Officer, Junior Officer, Junior Officer,0,,
94,, Junior Officer, Junior Officer, Senior Officer,0,,
94,, Junior Officer, Junior Officer,Resigned,0,,
94,, Junior Officer, Senior Officer, Manager,0,,
94,, Junior Officer, Senior Officer, Senior Officer,0,,
94,, Manager, Manager, Manager,0,,
94,, Manager, Manager, Senior Manager,0,,
94,1, Manager, Manager,Resigned,0,3,2
94,, Manager, Senior Manager, Director,0,,
94,, Manager, Senior Manager, Senior Manager,0,,
94,, Senior Manager, Director, Director,0,,
94,, Senior Manager, Senior Manager, Director,0,,
94,, Senior Manager, Senior Manager, Senior Manager,0,,
94,, Senior Manager, Senior Manager,Resigned,0,,
94,, Senior Officer, Manager, Manager,0,,
94,, Senior Officer, Manager, Senior Manager,0,,
94,, Senior Officer, Senior Officer, Manager,0,,
94,, Senior Officer, Senior Officer, Senior Officer,0,,
94,, Senior Officer, Senior Officer,Resigned,0,,
94,,Newly Hired, Director, Director,0,,
94,,Newly Hired, Executive, Executive,0,,
94,,Newly Hired, Junior Officer, Junior Officer,0,,
94,,Newly Hired, Manager, Manager,0,,
94,,Newly Hired, Senior Manager, Senior Manager,0,,
94,,Newly Hired, Senior Officer, Senior Officer,0,,
95,, Director, Director, Director,0,,
95,, Director, Director, Executive,0,,
95,, Director, Director,Resigned,0,,
95,, Director, Executive, Executive,0,,
95,, Executive, Executive, Executive,0,,
95,, Executive, Executive,Resigned,0,,
95,, Junior Officer, Junior Officer, Junior Officer,0,,
95,, Junior Officer, Junior Officer, Senior Officer,0,,
95,, Junior Officer, Junior Officer,Resigned,0,,
95,, Junior Officer, Senior Officer, Manager,0,,
95,, Junior Officer, Senior Officer, Senior Officer,0,,
95,, Manager, Manager, Manager,0,,
95,, Manager, Manager, Senior Manager,0,,
95,, Manager, Manager,Resigned,0,,
95,, Manager, Senior Manager, Director,0,,
95,, Manager, Senior Manager, Senior Manager,0,,
95,, Senior Manager, Director, Director,0,,
95,, Senior Manager, Senior Manager, Director,0,,
95,, Senior Manager, Senior Manager, Senior Manager,0,,
95,1, Senior Manager, Senior Manager,Resigned,0,3,4
95,, Senior Officer, Manager, Manager,0,,
95,, Senior Officer, Manager, Senior Manager,0,,
95,, Senior Officer, Senior Officer, Manager,0,,
95,, Senior Officer, Senior Officer, Senior Officer,0,,
95,, Senior Officer, Senior Officer,Resigned,0,,
95,,Newly Hired, Director, Director,0,,
95,,Newly Hired, Executive, Executive,0,,
95,,Newly Hired, Junior Officer, Junior Officer,0,,
95,,Newly Hired, Manager, Manager,0,,
95,,Newly Hired, Senior Manager, Senior Manager,0,,
95,,Newly Hired, Senior Officer, Senior Officer,0,,
96,, Director, Director, Director,0,,
96,, Director, Director, Executive,0,,
96,, Director, Director,Resigned,0,,
96,, Director, Executive, Executive,0,,
96,, Executive, Executive, Executive,0,,
96,, Executive, Executive,Resigned,0,,
96,1, Junior Officer, Junior Officer, Junior Officer,0,,2
96,, Junior Officer, Junior Officer, Senior Officer,0,,
96,, Junior Officer, Junior Officer,Resigned,0,,
96,, Junior Officer, Senior Officer, Manager,0,,
96,, Junior Officer, Senior Officer, Senior Officer,0,,
96,, Manager, Manager, Manager,0,,
96,, Manager, Manager, Senior Manager,0,,
96,, Manager, Manager,Resigned,0,,
96,, Manager, Senior Manager, Director,0,,
96,, Manager, Senior Manager, Senior Manager,0,,
96,, Senior Manager, Director, Director,0,,
96,, Senior Manager, Senior Manager, Director,0,,
96,, Senior Manager, Senior Manager, Senior Manager,0,,
96,, Senior Manager, Senior Manager,Resigned,0,,
96,, Senior Officer, Manager, Manager,0,,
96,, Senior Officer, Manager, Senior Manager,0,,
96,, Senior Officer, Senior Officer, Manager,0,,
96,, Senior Officer, Senior Officer, Senior Officer,0,,
96,, Senior Officer, Senior Officer,Resigned,0,,
96,,Newly Hired, Director, Director,0,,
96,,Newly Hired, Executive, Executive,0,,
96,,Newly Hired, Junior Officer, Junior Officer,0,,
96,,Newly Hired, Manager, Manager,0,,
96,,Newly Hired, Senior Manager, Senior Manager,0,,
96,,Newly Hired, Senior Officer, Senior Officer,0,,
97,, Director, Director, Director,0,,
97,, Director, Director, Executive,0,,
97,, Director, Director,Resigned,0,,
97,, Director, Executive, Executive,0,,
97,, Executive, Executive, Executive,0,,
97,, Executive, Executive,Resigned,0,,
97,, Junior Officer, Junior Officer, Junior Officer,0,,
97,, Junior Officer, Junior Officer, Senior Officer,0,,
97,, Junior Officer, Junior Officer,Resigned,0,,
97,, Junior Officer, Senior Officer, Manager,0,,
97,, Junior Officer, Senior Officer, Senior Officer,0,,
97,1, Manager, Manager, Manager,0,3,2
97,, Manager, Manager, Senior Manager,0,,
97,, Manager, Manager,Resigned,0,,
97,, Manager, Senior Manager, Director,0,,
97,, Manager, Senior Manager, Senior Manager,0,,
97,, Senior Manager, Director, Director,0,,
97,, Senior Manager, Senior Manager, Director,0,,
97,, Senior Manager, Senior Manager, Senior Manager,0,,
97,, Senior Manager, Senior Manager,Resigned,0,,
97,, Senior Officer, Manager, Manager,0,,
97,, Senior Officer, Manager, Senior Manager,0,,
97,, Senior Officer, Senior Officer, Manager,0,,
97,, Senior Officer, Senior Officer, Senior Officer,0,,
97,, Senior Officer, Senior Officer,Resigned,0,,
97,,Newly Hired, Director, Director,0,,
97,,Newly Hired, Executive, Executive,0,,
97,,Newly Hired, Junior Officer, Junior Officer,0,,
97,,Newly Hired, Manager, Manager,0,,
97,,Newly Hired, Senior Manager, Senior Manager,0,,
97,,Newly Hired, Senior Officer, Senior Officer,0,,
98,1, Director, Director, Director,0,3,3
98,, Director, Director, Executive,0,,
98,, Director, Director,Resigned,0,,
98,, Director, Executive, Executive,0,,
98,, Executive, Executive, Executive,0,,
98,, Executive, Executive,Resigned,0,,
98,, Junior Officer, Junior Officer, Junior Officer,0,,
98,, Junior Officer, Junior Officer, Senior Officer,0,,
98,, Junior Officer, Junior Officer,Resigned,0,,
98,, Junior Officer, Senior Officer, Manager,0,,
98,, Junior Officer, Senior Officer, Senior Officer,0,,
98,, Manager, Manager, Manager,0,,
98,, Manager, Manager, Senior Manager,0,,
98,, Manager, Manager,Resigned,0,,
98,, Manager, Senior Manager, Director,0,,
98,, Manager, Senior Manager, Senior Manager,0,,
98,, Senior Manager, Director, Director,0,,
98,, Senior Manager, Senior Manager, Director,0,,
98,, Senior Manager, Senior Manager, Senior Manager,0,,
98,, Senior Manager, Senior Manager,Resigned,0,,
98,, Senior Officer, Manager, Manager,0,,
98,, Senior Officer, Manager, Senior Manager,0,,
98,, Senior Officer, Senior Officer, Manager,0,,
98,, Senior Officer, Senior Officer, Senior Officer,0,,
98,, Senior Officer, Senior Officer,Resigned,0,,
98,,Newly Hired, Director, Director,0,,
98,,Newly Hired, Executive, Executive,0,,
98,,Newly Hired, Junior Officer, Junior Officer,0,,
98,,Newly Hired, Manager, Manager,0,,
98,,Newly Hired, Senior Manager, Senior Manager,0,,
98,,Newly Hired, Senior Officer, Senior Officer,0,,
99,, Director, Director, Director,0,,
99,, Director, Director, Executive,0,,
99,, Director, Director,Resigned,0,,
99,, Director, Executive, Executive,0,,
99,, Executive, Executive, Executive,0,,
99,, Executive, Executive,Resigned,0,,
99,1, Junior Officer, Junior Officer, Junior Officer,0,3,3
99,, Junior Officer, Junior Officer, Senior Officer,0,,
99,, Junior Officer, Junior Officer,Resigned,0,,
99,, Junior Officer, Senior Officer, Manager,0,,
99,, Junior Officer, Senior Officer, Senior Officer,0,,
99,, Manager, Manager, Manager,0,,
99,, Manager, Manager, Senior Manager,0,,
99,, Manager, Manager,Resigned,0,,
99,, Manager, Senior Manager, Director,0,,
99,, Manager, Senior Manager, Senior Manager,0,,
99,, Senior Manager, Director, Director,0,,
99,, Senior Manager, Senior Manager, Director,0,,
99,, Senior Manager, Senior Manager, Senior Manager,0,,
99,, Senior Manager, Senior Manager,Resigned,0,,
99,, Senior Officer, Manager, Manager,0,,
99,, Senior Officer, Manager, Senior Manager,0,,
99,, Senior Officer, Senior Officer, Manager,0,,
99,, Senior Officer, Senior Officer, Senior Officer,0,,
99,, Senior Officer, Senior Officer,Resigned,0,,
99,,Newly Hired, Director, Director,0,,
99,,Newly Hired, Executive, Executive,0,,
99,,Newly Hired, Junior Officer, Junior Officer,0,,
99,,Newly Hired, Manager, Manager,0,,
99,,Newly Hired, Senior Manager, Senior Manager,0,,
99,,Newly Hired, Senior Officer, Senior Officer,0,,
100,, Director, Director, Director,0,,
100,, Director, Director, Executive,0,,
100,, Director, Director,Resigned,0,,
100,, Director, Executive, Executive,0,,
100,, Executive, Executive, Executive,0,,
100,, Executive, Executive,Resigned,0,,
100,, Junior Officer, Junior Officer, Junior Officer,0,,
100,, Junior Officer, Junior Officer, Senior Officer,0,,
100,, Junior Officer, Junior Officer,Resigned,0,,
100,, Junior Officer, Senior Officer, Manager,0,,
100,, Junior Officer, Senior Officer, Senior Officer,0,,
100,, Manager, Manager, Manager,0,,
100,, Manager, Manager, Senior Manager,0,,
100,, Manager, Manager,Resigned,0,,
100,, Manager, Senior Manager, Director,0,,
100,, Manager, Senior Manager, Senior Manager,0,,
100,, Senior Manager, Director, Director,0,,
100,, Senior Manager, Senior Manager, Director,0,,
100,1, Senior Manager, Senior Manager, Senior Manager,0,3,3
100,, Senior Manager, Senior Manager,Resigned,0,,
100,, Senior Officer, Manager, Manager,0,,
100,, Senior Officer, Manager, Senior Manager,0,,
100,, Senior Officer, Senior Officer, Manager,0,,
100,, Senior Officer, Senior Officer, Senior Officer,0,,
100,, Senior Officer, Senior Officer,Resigned,0,,
100,,Newly Hired, Director, Director,0,,
100,,Newly Hired, Executive, Executive,0,,
100,,Newly Hired, Junior Officer, Junior Officer,0,,
100,,Newly Hired, Manager, Manager,0,,
100,,Newly Hired, Senior Manager, Senior Manager,0,,
100,,Newly Hired, Senior Officer, Senior Officer,0,,
101,, Director, Director, Director,0,,
101,, Director, Director, Executive,0,,
101,, Director, Director,Resigned,0,,
101,, Director, Executive, Executive,0,,
101,, Executive, Executive, Executive,0,,
101,, Executive, Executive,Resigned,0,,
101,1, Junior Officer, Junior Officer, Junior Officer,0,3,2
101,, Junior Officer, Junior Officer, Senior Officer,0,,
101,, Junior Officer, Junior Officer,Resigned,0,,
101,, Junior Officer, Senior Officer, Manager,0,,
101,, Junior Officer, Senior Officer, Senior Officer,0,,
101,, Manager, Manager, Manager,0,,
101,, Manager, Manager, Senior Manager,0,,
101,, Manager, Manager,Resigned,0,,
101,, Manager, Senior Manager, Director,0,,
101,, Manager, Senior Manager, Senior Manager,0,,
101,, Senior Manager, Director, Director,0,,
101,, Senior Manager, Senior Manager, Director,0,,
101,, Senior Manager, Senior Manager, Senior Manager,0,,
101,, Senior Manager, Senior Manager,Resigned,0,,
101,, Senior Officer, Manager, Manager,0,,
101,, Senior Officer, Manager, Senior Manager,0,,
101,, Senior Officer, Senior Officer, Manager,0,,
101,, Senior Officer, Senior Officer, Senior Officer,0,,
101,, Senior Officer, Senior Officer,Resigned,0,,
101,,Newly Hired, Director, Director,0,,
101,,Newly Hired, Executive, Executive,0,,
101,,Newly Hired, Junior Officer, Junior Officer,0,,
101,,Newly Hired, Manager, Manager,0,,
101,,Newly Hired, Senior Manager, Senior Manager,0,,
101,,Newly Hired, Senior Officer, Senior Officer,0,,
102,, Director, Director, Director,0,,
102,, Director, Director, Executive,0,,
102,, Director, Director,Resigned,0,,
102,, Director, Executive, Executive,0,,
102,, Executive, Executive, Executive,0,,
102,, Executive, Executive,Resigned,0,,
102,, Junior Officer, Junior Officer, Junior Officer,0,,
102,, Junior Officer, Junior Officer, Senior Officer,0,,
102,, Junior Officer, Junior Officer,Resigned,0,,
102,, Junior Officer, Senior Officer, Manager,0,,
102,, Junior Officer, Senior Officer, Senior Officer,0,,
102,1, Manager, Manager, Manager,0,,2
102,, Manager, Manager, Senior Manager,0,,
102,, Manager, Manager,Resigned,0,,
102,, Manager, Senior Manager, Director,0,,
102,, Manager, Senior Manager, Senior Manager,0,,
102,, Senior Manager, Director, Director,0,,
102,, Senior Manager, Senior Manager, Director,0,,
102,, Senior Manager, Senior Manager, Senior Manager,0,,
102,, Senior Manager, Senior Manager,Resigned,0,,
